satImageFN,imageFN,Name,ID,State,County,Latitude,Longitude,Date of inception,Height (m),Focalheight (m),Range (nm),Light characteristic,heritageDesignation,Conveyd Lightstaition,yearOfTransfer,"
proceeds"
Q5641964.png,Q5641964.jpg,Halfway Rock Light,Q5641964,Maine,Cumberland County,43.65577778,-70.036785,1871,23,"23,5",19,Fl R 5s,http://www.wikidata.org/entity/Q19558910,publicSale,2014,"$283,000"
Q7628986.png,Q7628986.jpg,Sturgeon Bay Canal Light,Q7628986,Wisconsin,Door County,44.795,-87.3133,1899,30,32,17,Fl R 10s,http://www.wikidata.org/entity/Q19558910,publicSale,2014,"$48,500"
Q7371061.png,Q7371061.jpg,Round Island Passage Light,Q7371061,Michigan,Mackinac County,45.8433,-84.615,1947,18,22,14,Fl R 4s,http://www.wikidata.org/entity/Q19558910,publicSale,2014,"$65,500"
Q4943563.png,Q4943563.jpg,Boon Island Light,Q4943563,Maine,York,43.12144944,-70.47642194,1811,41,42,19,Fl W 5s,http://www.wikidata.org/entity/Q19558910,publicSale,2014,"$78,000"
Q5528593.png,Q5528593.jpg,Gay Head Light,Q5528593,Massachusets,Aquinnah,41.348444,-70.834944,1799,"15,5",52,20,Al WR 7.5s,http://www.wikidata.org/entity/Q4742563,LocalGov,2015,
Q2331864.png,Q2331864.jpg,Stannard Rock Light,Q2331864,Michigan,Marquette County,47.183611,-87.218056,1883,30,31,18,Fl W 6s,http://www.wikidata.org/entity/Q19558910,ngo,2015,
Q7158764.png,Q7158764.jpg,Peck Ledge Light,Q7158764,Connecticut,Norwalk,41.0783,-73.3683,1906,16,19,5,Fl G 2.5s,http://www.wikidata.org/entity/Q19558910,publicSale,2015,"$235,000"
Q3378379.png,Q3378379.jpg,Saybrook Breakwater Light,Q3378379,Connecticut,Old Saybrook,41.2632,-72.34276,1886,15,18,3,Fl G 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2015,"$290,000"
Q15253289.png,Q15253289.jpg,Miah Maull Shoal Light,Q15253289,New Jersey,Cumberland County,39.12666667,-75.20972222,1913,14,18,12,"Oc W 4s, R sector",http://www.wikidata.org/entity/Q19558910,publicSale,2015,"$90,000"
Q4724302.png,Q4724302.jpg,Algoma Pierhead Light,Q4724302,Wisconsin,Algoma,44.6069,-87.4294,1908,"12,5","14,5",16,Iso R 6s,,LocalGov,2016,
Q7231028.png,Q7231028.jpg,Port Washington Breakwater Light,Q7231028,Wisconsin,Port Washington,43.3853,-87.8597,1889,18,24,8,Fl R 6s,,LocalGov,2016,
Q5317656.png,Q5317656.jpg,Duxbury Pier Light,Q5317656,Massachusetts,Plymouth County,41.987425,-70.64854722,1871,14,11,6,Fl(2) R 5s,http://www.wikidata.org/entity/Q19558910,ngo,2016,
Q5997383.png,Q5997383.jpg,Ile Aux Galets,Q5997383,Michigan,Ile Aux Galets,45.676389,-85.171667,1888,18,18,11,Fl W 6s,http://www.wikidata.org/entity/Q19558910,ngo,2016,
Q29096978.png,Q29096978.jpg,Keweenaw Waterway Lower Entrance Light,Q29096978,Michigan,Torch Lake Township,46.96888889,-88.43111111,1919,19,21,9,Fl W 6s,http://www.wikidata.org/entity/Q19558910,ngo,2016,
